A_symbol,B_symbol,y_exists,S_cos,S_wcos,S_dot,same_group,same_period,source,notes
Ac,Al,0,6.385550163168e-01,6.093335826170e-01,3.981183401951e+00,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,O)"
Ac,Ar,0,-7.732785010780e-01,-5.694293550786e-01,-1.745335248669e+01,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,S)"
Ac,As,1,3.842032309126e-01,5.139278975857e-01,2.210802444163e+00,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,At,1,2.333172747023e-01,1.913031767215e-01,6.576469856236e+00,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,B,1,-2.668725897462e-01,6.226175201404e-02,-1.246648303112e+01,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Ba,0,3.135125704477e-01,3.792995942801e-01,3.218251703280e+00,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,At)"
Ac,Be,0,-4.242023809765e-01,-1.556386391865e-01,-1.904036374959e+01,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,F)"
Ac,Bi,1,-2.476893003930e-03,1.156107471947e-01,-7.660334245445e-02,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Br,1,-2.540653968226e-01,-1.083042765526e-01,-2.707481157901e+00,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,C,1,-1.374304549745e-01,-1.538595708693e-01,-7.679305912848e+00,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Ca,0,-2.753702842191e-01,-1.281232923702e-01,-3.006936011066e+00,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Br)"
Ac,Ce,0,4.013723676217e-01,1.328246618066e-01,5.385349150679e+00,1,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Po)"
Ac,Cl,1,-4.194723209516e-01,-2.720070064148e-01,-4.534390587900e+00,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Co,0,6.618453898977e-01,2.695777566585e-01,1.124759923361e+01,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,As)"
Ac,Cr,0,-4.766497743840e-02,1.545446486271e-02,-5.515112214273e-01,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,P)"
Ac,Cs,0,8.131536438577e-01,8.213525482996e-01,6.081740201214e+00,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,At)"
Ac,Cu,0,-4.170778045441e-02,1.246313005430e-01,-2.502161620630e-01,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,C)"
Ac,F,1,-4.713530610635e-01,-3.657593547808e-01,-1.244544700500e+01,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Fe,0,-4.505514834160e-02,-1.082718883324e-01,-9.107071806168e-01,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,As)"
Ac,Ga,0,4.763183235716e-01,6.430468585222e-01,2.695672218338e+00,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Si)"
Ac,Ge,1,-4.386282535630e-02,-8.541686691542e-02,-3.653598435023e-01,0,0,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,H,0,-5.649831949389e-01,-2.913702914009e-01,-8.721987130495e+00,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,N)"
Ac,He,0,-8.290199043073e-01,-6.951492076682e-01,-3.591936915350e+01,0,0,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,N)"
