symbol,cluster,best_k
Ac,1,3
Ag,1,3
Al,1,3
Am,1,3
Ar,0,3
At,1,3
B,1,3
Be,1,3
Bh,1,3
Bi,1,3
Bk,1,3
Br,0,3
C,0,3
Ca,0,3
Cd,1,3
Ce,1,3
Cf,1,3
Cl,0,3
Cm,1,3
Co,1,3
Cr,0,3
Cs,1,3
Cu,0,3
Dy,1,3
Es,1,3
Eu,1,3
F,2,3
Fe,0,3
Fm,1,3
Fr,1,3
Ga,1,3
Gd,1,3
Ge,0,3
H,1,3
Hf,1,3
Hg,0,3
Ho,1,3
Hs,1,3
I,1,3
In,1,3
Ir,1,3
K,1,3
Kr,0,3
La,1,3
Lr,1,3
Lu,1,3
Md,1,3
Mg,1,3
Mn,0,3
N,0,3
Nb,1,3
Nd,1,3
Ne,2,3
Ni,1,3
No,1,3
Os,1,3
P,0,3
Pa,1,3
Pb,1,3
Pd,1,3
Pm,1,3
Po,1,3
Pr,1,3
Pt,1,3
Pu,1,3
Ra,1,3
Rb,1,3
Re,1,3
Rf,1,3
Rh,1,3
Rn,1,3
Ru,1,3
S,0,3
Sb,1,3
Sc,1,3
Se,1,3
Sg,1,3
Si,0,3
Sm,1,3
Sn,1,3
Sr,1,3
Ta,1,3
Tb,1,3
Tc,1,3
Te,1,3
Th,1,3
Ti,1,3
Tl,1,3
Tm,1,3
U,1,3
V,1,3
W,1,3
Xe,0,3
Y,1,3
Yb,1,3
Zn,0,3
Zr,1,3
