symbol,cluster,best_k
Ac,0,2
Ag,0,2
Al,0,2
Am,0,2
Ar,0,2
As,0,2
At,0,2
Au,0,2
B,0,2
Ba,0,2
Be,0,2
Bh,0,2
Bi,0,2
Bk,0,2
Br,0,2
C,0,2
Ca,0,2
Cd,0,2
Ce,0,2
Cf,0,2
Cl,0,2
Cm,0,2
Co,0,2
Cr,0,2
Cs,0,2
Cu,0,2
Db,0,2
Dy,0,2
Er,0,2
Es,0,2
Eu,0,2
F,0,2
Fe,0,2
Fm,0,2
Fr,0,2
Ga,0,2
Gd,0,2
Ge,0,2
H,0,2
He,1,2
Hf,0,2
Hg,0,2
Ho,0,2
Hs,0,2
I,0,2
In,0,2
Ir,0,2
K,0,2
Kr,0,2
La,0,2
Li,0,2
Lr,0,2
Lu,0,2
Md,0,2
Mg,0,2
Mn,0,2
Mo,0,2
N,0,2
Na,0,2
Nb,0,2
Nd,0,2
Ne,0,2
Ni,0,2
No,0,2
Np,0,2
O,0,2
Os,0,2
P,0,2
Pa,0,2
Pb,0,2
Pd,0,2
Pm,0,2
Po,0,2
Pr,0,2
Pt,0,2
Pu,0,2
Ra,0,2
Rb,0,2
Re,0,2
Rf,0,2
Rh,0,2
Rn,0,2
Ru,0,2
S,0,2
Sb,0,2
Sc,0,2
Se,0,2
Sg,0,2
Si,0,2
Sm,0,2
Sn,0,2
Sr,0,2
Ta,0,2
Tb,0,2
Tc,0,2
Te,0,2
Th,0,2
Ti,0,2
Tl,0,2
Tm,0,2
U,0,2
V,0,2
W,0,2
Xe,0,2
Y,0,2
Yb,0,2
Zn,0,2
Zr,0,2
